1866/67,,30.02,730.81,24.3,0.66,
1867/68,,32.12,793.91,24.7,0.78,
1868/69,,35.12,919.59,26.2,0.62,
1869/70,,35.83,782.08,21.8,0.73,
1870/71,,38.39,"1,124.78",29.3,0.52,
1871/72,,42,"1,141.72",27.2,0.46,
1872/73,,43.58,"1,279.37",29.4,0.38,
1873/74,,44.08,"1,008.33",22.9,0.48,
1874/75,,47.64,"1,058.78",22.2,0.64,
1875/76,,52.45,"1,450.28",27.7,0.42,
1876/77,,55.28,"1,478.17",26.7,0.36,
1877/78,,58.8,"1,515.86",25.8,0.36,
1878/79,,59.66,"1,564.54",26.2,0.31,
1879/80,,62.23,"1,751.98",28.2,0.36,
1880/81,,62.55,"1,706.67",27.3,0.39,
1881/82,,63.03,"1,244.80",19.8,0.63,
1882/83,,66.16,"1,755.27",26.5,0.48,
1883/84,,68.17,"1,652.15",24.2,0.42,
1884/85,,68.83,"1,947.84",28.3,0.35,
1885/86,,71.85,"2,057.81",28.6,0.32,
1886/87,,73.91,"1,782.77",24.1,0.36,
1887/88,,73.3,"1,604.55",21.9,0.43,
1888/89,,77.47,"2,250.63",29.1,0.33,
1889/90,,77.66,"2,294.29",29.5,0.28,
1890/91,,74.79,"1,650.45",22.1,0.5,
1891/92,,78.86,"2,335.80",29.6,0.4,
1892/93,,76.91,"1,897.41",24.7,0.39,
1893/94,,79.83,"1,900.40",23.8,0.36,
1894/95,,80.07,"1,615.02",20.2,0.45,
1895/96,,90.48,"2,534.76",28,0.25,
1896/97,,89.07,"2,671.05",30,0.21,
1897/98,,89.97,"2,287.63",25.4,0.26,
1898/99,,87.78,"2,351.32",26.8,0.29,
1899/00,,94.59,"2,645.80",28,0.3,
1900/1901,,94.85,"2,661.98",28.1,0.35,
1901/1902,,94.42,"1,715.75",18.2,0.6,
1902/1903,,97.18,"2,773.95",28.5,0.4,
1903/1904,,93.56,"2,515.09",26.9,0.42,
1904/1905,,95.23,"2,686.62",28.2,0.44,
1905/1906,,95.75,"2,954.15",30.9,0.41,
1906/1907,,95.62,"3,032.91",31.7,0.39,
1907/1908,,96.09,"2,613.80",27.2,0.51,
1908/1909,,95.29,"2,566.74",26.9,0.65,
1909/1910,,100.2,"2,611.16",26.1,0.58,
1910/1911,,102.27,"2,852.79",27.9,0.48,
1911/1912,,101.39,"2,474.64",24.4,0.65,
1912/13,,101.45,"2,947.84",29.1,0.51,
1913/14,,100.21,"2,272.54",22.7,0.66,
1914/15,,97.8,"2,523.75",25.8,0.67,
1915/16,,100.62,"2,829.04",28.1,0.65,
1916/17,,100.56,"2,425.21",24.1,1.13,
1917/18,,110.89,"2,908.24",26.2,1.39,
1918/19,,102.2,"2,441.25",23.9,1.45,
1919/20,,87.49,"2,341.87",26.8,1.44,
1920/21,,90.15,"2,695.09",29.9,0.54,
1921/22,,91.94,"2,556.92",27.8,0.46,
1922/23,,84.86,"2,229.50",26.3,0.69,
1923/24,,87.49,"2,429.55",27.8,0.76,
1924/25,,84.12,"1,860.11",22.1,1.02,
1925/26,,86.83,"2,382.29",27.4,0.65,
1926/27,99.66,83.28,"2,140.21",25.7,0.72,
1927/28,98.46,83.92,"2,218.19",26.4,0.8,
1928/29,100.4,85.83,"2,260.99",26.3,0.8,
1929/30,99.13,83.19,"2,135.04",25.7,0.76,
1930/31,103.92,85.53,"1,757.30",20.5,0.55,
1931/32,109.36,91.13,"2,229.90",24.5,0.29,
1932/33,113.02,97.21,"2,578.69",26.5,0.29,
1933/34,109.83,92.13,"2,104.73",22.8,0.49,
1934/35,100.56,61.25,"1,146.73",18.7,0.8,
1935/36,99.97,82.55,"2,001.37",24.2,0.63,
1936/37,101.96,67.83,"1,258.67",18.6,1.03,
1937/38,97.17,81.22,"2,349.43",28.9,0.49,
1938/39,94.47,82.79,"2,300.10",27.8,0.47,
1939/40,91.64,78.31,"2,341.60",29.9,0.54,
1940/41,88.69,76.44,"2,206.88",28.9,0.6,
1941/42,86.84,77.4,"2,414.45",31.2,0.74,
1942/43,88.82,79.21,"2,801.82",35.4,0.89,
1943/44,94.34,81.91,"2,668.49",32.6,1.08,
1944/45,95.48,85,"2,801.61",33,1.03,
1945/46,89.26,77.93,"2,577.45",33.1,1.23,
1946/47,88.9,78.41,"2,916.09",37.2,1.53,
1947/48,85.04,73.8,"2,108.32",28.6,2.16,
1948/49,85.52,76.84,"3,307.04",43,1.28,
1949/50,86.74,77.11,"2,946.21",38.2,1.24,
1950/51,82.86,72.4,"2,764.07",38.2,1.52,1.47
1951/52,83.28,71.19,"2,628.94",36.9,1.66,
1952/53,82.23,71.35,"2,980.79",41.8,1.52,1.6
1953/54,81.57,70.74,"2,881.80",40.7,1.48,1.6
1954/55,82.19,68.67,"2,707.91",39.4,1.43,1.62
1955/56,80.93,68.46,"2,872.96",42,1.35,1.58
1956/57,77.83,64.88,"3,075.34",47.4,1.29,1.5
1957/58,73.18,63.07,"3,045.36",48.3,1.11,1.4
1958/59,73.35,63.55,"3,356.21",52.8,1.12,1.36
1959/60,82.74,72.09,"3,824.60",53.1,1.05,1.12
1960/61,81.43,71.42,"3,906.95",54.7,1,1.06
1961/62,65.92,57.63,"3,597.80",62.4,1.1,1.2
1962/63,65.02,55.73,"3,606.31",64.7,1.12,1.2
1963/64,68.77,59.23,"4,019.24",67.9,1.11,1.07
1964/65,65.82,55.37,"3,484.25",62.9,1.17,1.1
1965/66,65.17,55.39,"4,102.87",74.1,1.16,1.05
1966/67,66.35,57,"4,167.61",73.1,1.24,1
1967/68,71.16,60.69,"4,860.37",80.1,1.03,1.05
1968/69,65.13,55.98,"4,449.54",79.5,1.08,1.05
1969/70,64.26,54.57,"4,687.06",85.9,1.16,1.05
1970/71,66.86,57.36,"4,152.24",72.4,1.33,1.05
1971/72,74.18,64.12,"5,646.26",88.1,1.08,1.05
1972/73,67.13,57.51,"5,579.83",97,1.57,1.05
1973/74,72.25,62.14,"5,670.71",91.3,2.55,1.05
1974/75,77.94,65.41,"4,701.40",71.9,3.02,1.1
1975/76,78.72,67.63,"5,840.76",86.4,2.54,1.1
1976/77,84.59,71.51,"6,289.17",88,2.15,1.5
1977/78,84.33,71.61,"6,505.04",90.8,2.02,2
1978/79,81.68,71.93,"7,267.93",101,2.25,2
1979/80,81.39,72.4,"7,928.14",109.5,2.52,2.1
1980/81,84.04,72.96,"6,639.40",91,3.11,2.25
1981/82,84.1,74.52,"8,118.65",108.9,2.5,2.4
1982/83,81.86,72.72,"8,235.10",113.2,2.55,2.55
1983/84,60.21,51.48,"4,174.25",81.1,3.21,2.65
1984/85,80.52,71.9,"7,672.13",106.7,2.63,2.55
1985/86,83.4,75.21,"8,875.45",118,2.23,2.55
1986/87,76.58,68.91,"8,225.76",119.4,1.5,1.92
1987/88,66.2,59.51,"7,131.30",119.8,1.94,1.82
1988/89,67.72,58.25,"4,928.68",84.6,2.54,1.77
1989/90,72.32,64.78,"7,531.95",116.3,2.36,1.65
1990/91,74.17,66.95,"7,934.03",118.5,2.28,1.57
1991/92,75.96,68.82,"7,474.77",108.6,2.37,1.62
1992/93,79.31,72.08,"9,476.70",131.5,2.07,1.72
1993/94,73.24,62.93,"6,337.73",100.7,2.5,1.72
1994/95,78.92,72.51,"10,050.52",138.6,2.26,1.89
1995/96,71.48,65.21,"7,400.05",113.5,3.24,1.89
1996/97,79.23,72.64,"9,232.56",127.1,2.71,1.89
1997/98,79.54,72.67,"9,206.83",126.7,2.43,1.89
1998/99,80.17,72.59,"9,758.69",134.4,1.94,1.89
1999/00,77.39,70.49,"9,430.61",133.8,1.82,1.89
2000/2001,79.55,72.44,"9,915.05",136.9,1.85,1.89
2001/2002,75.7,68.77,"9,502.58",138.2,1.97,1.89
2002/2003,78.89,69.33,"8,966.79",129.3,2.32,1.98
2003/2004,78.6,70.94,"10,087.29",142.2,2.42,1.98
2004/2005,80.93,73.63,"11,805.58",160.3,2.06,1.95
2005/2006,81.78,75.12,"11,112.19",147.9,2,1.95
2006/2007,78.33,70.64,"10,531.12",149.1,3.04,1.95
2007/2008,93.53,86.52,"13,037.88",150.7,4.2,1.95
2008/2009,85.98,78.57,"12,043.20",153.3,4.06,1.95
2009/2010,86.38,79.49,"13,067.16",164.4,3.55,1.95
2010/2011,88.19,81.45,"12,425.33",152.6,5.18,1.95
2011/2012,91.94,83.88,"12,313.96",146.8,6.22,1.95
2012/13,97.29,87.37,"10,755.11",123.1,6.89,1.95
2013/14,95.37,87.45,"13,828.96",158.13,4.46,1.95
2014/15,90.6,83.14,"14,215.53",170.99,3.50-3.90,1.95
